Scientific Name,Common Name,Distribution,Habitat,Minimum Aquarium Size in Litres,Aquarium Setup,Difficulty,Diet,Grouping,Compatibility,Behaviour,Water Level Area,Temp C Low ,Temp C High ,pH Low,pH High,Hardness dH Low,Hardness dH High
Steatocranus tinanti,Steatocranus tinanti,Central Africa,Rivers,80,Dedicated,Moderately Difficult,Unfussy,Pair,"Medium-Sized Fish, Peaceful Fish",Semi-Aggressive,Bottom Area,25,28,6,7.5,5,19
Chromidotilapia guntheri,Chromidotilapia guntheri,West Africa,"Streams, Flooded Areas",110,Unfussy,Moderately Difficult,Unfussy,Pair,"Medium-Sized Fish, Peaceful Fish",Generally Peaceful,Bottom/Mid Water,24,27,6,8,1,15
Pelvicachromis taeniatus,Striped Kribensis,West Africa,"Streams, Rivers",75,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,22,26,5,7.5,5,12
Nanochromis transverstitus,Transvestite Dwarf Cichlid,Central Africa,Lakes,55,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,24,27,4,7,0,12
Nanochromis nudiceps,Nanochromis nudiceps,Central Africa,"Rivers, Streams",55,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,24,27,5,7,0,8
Nanochromis parilus,Nanochromis parilus,Central Africa,Streams,55,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,22,25,6,7,1,8
Pelvicachromis subocellatus,Ocellated Kribensis,Central Africa,"Streams, Pools, Brackish",75,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,22,26,5.5,7.5,5,20
Hyphessobrycon amandae,Ember Tetra,Amazon,"Streams, Pools, Lakes",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Bottom/Mid Water,20,28,5,7,5,17
Pristella maxillaris riddlei,X-ray Tetra,Northeastern South America,"Streams, Flooded Areas",55,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Middle Water,22,28,6,7.5,2,20
Axelrodia riesei,Ruby Tetra,Orinoco,"Rivers, Streams",55,Dedicated,Intermediate,Unfussy,Shoaling,"Peaceful Fish, Very Small Fish",Very Peaceful,Mid/Top Water,20,28,4,6.5,3,12
Gymnocorymbus ternetzi,Black Widow Tetra,South America,Streams,75,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Medium-Large Fish",Generally Peaceful,Mid/Top Water,20,26,6,7,5,20
Moenkhausia columbiana,Diamond Tetra,Venezuela,Lakes,75,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Medium-Large Fish",Generally Peaceful,Middle Water,24,28,5.5,7,5,12
Hemigrammus ocellifer,Head-and-tail light Tetra,South America,"Rivers, Streams, Lakes, Flooded Areas",75,Unfussy,Very Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Middle Water,24,28,5.5,7.5,5,20
Hemigrammus rhodostomus,Rummy-nose tetra,South America,"Streams, Rivers",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Middle Water,24,27,5.5,7,2,15
Nannostomus beckfordi,Golden Pencilfish,South America,"Rivers, Streams, Swamp",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Middle Water,21,27,5,8,2,15
Moenkhausia sanctaefilomenae,Red-eye Tetra,Southeastern South America,"Rivers, Streams",110,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Active Fish, Medium-Sized Fish, Medium-Large Fish",Generally Peaceful,Mid/Top Water,22,26,6,8,3,20
Aphyocharax anisitsi,Bloodfin Tetra,Southeastern South America,"Rivers, Streams",55,Planted,Easy,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Active Fish, Robust Fish",Generally Peaceful,Mid/Top Water,18,28,6,8,5,10
Hyphessobrycon flammeus,Flame Tetra,Brazil,"Rivers, Streams",55,Unfussy,Intermediate,Specialised,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,20,26,5.5,7.5,3,15
Paracheirodon innesi,Neon Tetra,Amazon,"Streams, Rivers",55,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Middle Water,21,25,4,7.5,2,10
Thayeria boehlkei,False Penguin Tetra,Amazon,"Streams, Flooded Areas, Swamp",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,22,28,5.5,8,4,18
Inpaichthys kerri,Purple Emperor Tetra,Brazil,"Rivers, Streams",75,Heavily-Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Mid/Top Water,24,27,5.5,7,1,12
Hyphessobrycon herbertaxelrodi,Black Neon Tetra,Southeastern South America,"Rivers, Streams, Swamp, Flooded Areas",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,20,28,5,7.5,1,6
Hemigrammus hyanuary,January Tetra,Amazon,"Rivers, Streams, Flooded Areas",75,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,23,27,6,7,2,15
Hemigrammus caudovittatus,Buenos Aires Tetra,Southeastern South America,"Rivers, Streams, Lakes, Flooded Areas",120,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Active Fish, Robust Fish",Semi-Aggressive,Mid/Top Water,16,28,5.5,8.5,1,20
Hyphessobrycon callistus,Serpae Tetra,South America,"Flooded Areas, Lakes, Streams, Rivers",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Robust Fish, Active Fish",Aggressive,Middle Water,20,28,5,7.5,5,25
Hemigrammus erythrozonus,Glowlight Tetra,Guyana,"Rivers, Streams",75,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Peaceful Fish",Peaceful,Middle Water,24,28,5.5,7.5,2,15
Hyphessobrycon ecuadoriensis,Colombian Tetra,South America,"Streams, Rivers, Lakes",55,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Peaceful Fish",Generally Peaceful,Middle Water,23,28,6.5,7,5,8
Hyphessobrycon pulchripinnis,Lemon Tetra,Amazon,"Rivers, Streams, Flooded Areas",75,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Peaceful Fish",Very Peaceful,Mid/Top Water,20,28,5,7.5,5,15
Hyphessobrycon bentosi ornatus,Ornate Tetra,Amazon,"Rivers, Streams, Lakes",80,Unfussy,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Peaceful Fish",Very Peaceful,Mid/Top Water,20,28,5,7.5,1,12
Megalamphodus megalopterus,Black Phantom Tetra,Amazon,"Rivers, Streams, Ponds, Lakes",75,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Middle Water,20,28,5,7,3,18
Prionobrama filigera,Glass Bloodfin Tetra,Amazon,"Streams, Rivers",75,Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Top Water,23,27,6,7.5,5,20
Megalamphodus sweglesi,Red Phantom Tetra,Orinoco,"Rivers, Streams, Flooded Areas",75,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,20,28,4.5,7.5,5,18
Hasemania nana,Silvertip Tetra,Brazil,"Rivers, Streams",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Mid/Top Water,23,28,6,8,5,20
Nematobrycon palmeri,Emperor Tetra,Colombia,"Rivers, Streams",80,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,23,27,5,7.5,5,25
Paracheirodon axelrodi,Cardinal Tetra,Brazil,Streams,55,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Mid/Top Water,23,29,3.5,7.5,2,6
Moenkhausia pittieri,Diamond Tetra,Venezuela,Lakes,75,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Medium-Large Fish",Generally Peaceful,Middle Water,24,28,5.5,7,5,12
Hyphessobrycon eques,Serpae Tetra,South America,"Flooded Areas, Lakes, Streams, Rivers",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Robust Fish, Active Fish",Aggressive,Middle Water,20,28,5,7.5,5,25
Hyphessobrycon bentosi,Ornate Tetra,Amazon,"Rivers, Streams, Lakes",80,Unfussy,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Peaceful Fish",Very Peaceful,Mid/Top Water,20,28,5,7.5,1,12
Phenacogrammus interruptus,Congo Tetra,Central Africa,"Rivers, Streams",110,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Active Fish",Peaceful,Mid/Top Water,23,28,6,7.5,3,18
Boehlkea fredcochui,Blue Tetra,Amazon,"Rivers, Streams",75,Planted,Easy,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Robust Fish",Generally Peaceful,All Areas,21,26,6,7.5,5,15
Hemigrammus rodwayi,Golden Tetra,Northeastern South America,"Rivers, Streams, Flooded Areas",75,Heavily-Planted,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,All Areas,24,28,5.5,7,1,12
Hyphessobrycon elachys,Reed Tetra,Southeastern South America,"Rivers, Streams, Flooded Areas, Swamp",55,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Mid/Top Water,23,27,6,7.5,5,15
Aphyocharax rathbuni,Green Fire Tetra,Southeastern South America,"Streams, Rivers",55,Planted,Easy,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Active Fish, Robust Fish",Semi-Aggressive,Mid/Top Water,20,26,6.5,7.5,8,20
Nannostomus marginatus,Dwarf Pencilfish,Northeastern South America,"Rivers, Streams, Swamp, Flooded Areas",40,Heavily-Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish, Long-Finned Fish",Very Peaceful,Mid/Top Water,22,28,4,7,3,10
Phenacogrammus aurantiacus,Blue Eyed Congo Tetra,Central Africa,"Rivers, Streams",150,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,22,27,6,7.5,3,18
Paracheirodon simulans,Green Neon Tetra,Northeastern South America,"Streams, Rivers",40,Heavily-Planted,Moderately Difficult,Unfussy,Shoaling,"Peaceful Fish, Very Small Fish",Peaceful,Mid/Top Water,21,35,3,6.5,2,12
Hyphessobrycon amapaensis,Amapa Tetra,Brazil,Streams,55,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Very Peaceful,Mid/Top Water,23,28,5,7,5,15
Hyphessobrycon loretoensis,Loreto Tetra,Amazon,"Rivers, Streams, Flooded Areas",55,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Mid/Top Water,22,28,5,7,3,15
Chilodus punctatus,Spotted Headstander,Northeastern South America,"Rivers, Streams, Flooded Areas",80,Planted,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Middle Water,20,28,5,7.5,2,10
Cheirodon axelrodi,Cardinal Tetra,Brazil,Streams,55,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Mid/Top Water,23,29,3.5,7.5,2,6
Carnegiella marthae,Blackwing Hatchetfish,Northeastern South America,"Rivers, Streams, Flooded Areas",55,Heavily-Planted,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Mid/Top Water,20,28,4,7,2,12
Carnegiella strigata,Marbled Hatchetfish,Northeastern South America,"Rivers, Streams, Flooded Areas",75,Heavily-Planted,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Mid/Top Water,20,28,4,7,4,8
Hyphessobrycon roberti,Ornate Tetra,Amazon,"Rivers, Streams, Lakes",80,Unfussy,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Peaceful Fish",Very Peaceful,Mid/Top Water,20,28,5,7.5,1,12
Alestopetersius smykalai,Blue Diamond Tetra,Central Africa,"Streams, Rivers",110,Flowing River,Intermediate,Unfussy,Shoaling,"Peaceful Fish, Medium-Sized Fish, Small Fish",Generally Peaceful,Mid/Top Water,20,28,5,7,8,15
Hyphessobrycon wadai,Blueberry Tetra,Brazil,"Rivers, Streams",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,20,26,5.5,7,1,6
Notropsis chrosomus,Rainbow Shiner,Southeastern United States,"Rivers, Streams, Pools",110,Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Generally Peaceful,Mid/Top Water,10,23,6.5,8,10,25
Crenuchus spilurus,Sailfin Characin,Northeastern South America,"Rivers, Streams, Flooded Areas",75,Planted,Moderately Difficult,Specialised,Shoaling,"Small Fish, Same Species Only, Peaceful Fish",Peaceful,Bottom/Mid Water,20,28,4,6.5,1,5
Thoracocharax stella,Spotfin Hatchetfish,South America,"Rivers, Streams, Flooded Areas",250,Floating Plants,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Top Water,20,28,5,7.5,3,15
Hemigrammus rubrostriatus,Red Eye Red Line Tetra,Colombia,"Rivers, Streams",110,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,24,28,6,7,5,15
Hyphessobrycon erythrostigma,Bleeding Heart Tetra,Amazon,"Streams, Flooded Areas, Lakes",80,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom/Mid Water,21,28,4,7.5,5,15
Arnoldichthys spilopterus,African Red-eyed Tetra,Central Africa,"Streams, Rivers",110,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Active Fish",Peaceful,Mid/Top Water,24,27,6,7.5,5,20
Nannostomus mortenthaleri,Coral Red Pencilfish,Peru,"Rivers, Streams, Swamp, Flooded Areas",80,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Very Small Fish, Peaceful Fish",Generally Peaceful,Mid/Top Water,24,28,4,7,1,12
Oryzias latipes,Medaka,East Asia,"Brackish, Streams, Flooded Areas, Canals, Rivers, Pools",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Generally Peaceful,Mid/Top Water,16,22,6.5,8.5,5,19
Epiplatys grahami,Epiplatys grahami,West Africa,"Swamp, Streams",80,Planted,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Mid/Top Water,22,25,5,6,5,15
Aphyosemion cinnamomeum,Cinnamon Killifish,Central Africa,Streams,80,Heavily-Planted,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Mid/Top Water,22,24,6,7,5,12
Aphyosemion marmoratum,Marbled Lyretail Killifish,Central Africa,Streams,40,Heavily-Planted,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Mid/Top Water,21,23,6,7,5,12
Fundulopanchax scheeli,Fundulopanchax scheeli,Central Africa,"Streams, Ponds",40,Floating Plants,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Mid/Top Water,23,26,6,7.5,3,15
Aplocheilichthys normani,Norman's Lampeye,Central Africa,"Rivers, Streams, Swamp, Pools, Canals",40,Heavily-Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish, Long-Finned Fish",Peaceful,Mid/Top Water,22,26,6.5,7.5,5,15
Pachypanchax playfairii,Playfair's Panchax,Seychelles Islands,Streams,75,Planted,Easy,Unfussy,Pair,"Medium-Sized Fish, Same Species Only, Peaceful Fish",Generally Peaceful,Mid/Top Water,18,24,6,8,6,19
Aplocheilus blockii,Green Panchax,Sri Lanka,"Streams, Flooded Areas, Brackish",40,Floating Plants,Intermediate,Unfussy,Small Groups,"Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Mid/Top Water,20,28,6,8.5,5,20
Fundulopanchax gardneri,Steel-blue Killifish,Central Africa,"Streams, Swamp, Pools",40,Planted,Intermediate,Unfussy,Small Groups,"Robust Fish, Medium-Sized Fish",Semi-Aggressive,Bottom/Mid Water,20,26,6,7.5,5,12
Aphyosemion gabunense,Gabon Lyretail,West Africa,"Swamp, Streams, Pools",40,Planted,Easy,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Mid/Top Water,22,25,6.5,7.2,5,15
Epiplatys dageti,Red-chinned Panchax,West Africa,Swamp,55,Planted,Easy,Unfussy,Groups,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Mid/Top Water,20,30,5,7,5,12
Oryzias dancena,Indian Ricefish,India,"Brackish, Swamp, Streams, Rivers, Pools",40,Heavily-Planted,Easy,Unfussy,Groups,"Small Fish, Peaceful Fish, Very Small Fish",Generally Peaceful,Mid/Top Water,23,27,6.5,8.5,5,25
Aplocheilus lineatus,Golden Wonder Panchax,India,"Brackish, Swamp, Flooded Areas, Streams, Rivers",80,Planted,Easy,Unfussy,Groups,"Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,22,26,6,7.5,5,20
Oryzias woworae,Daisy's Ricefish,Indonesia,"Streams, Pools",40,Unfussy,Intermediate,Unfussy,Groups,"Small Fish, Very Small Fish, Peaceful Fish",Very Peaceful,Mid/Top Water,23,27,6,7.5,9,19
Nothobranchius guentheri,Redtail Notho,Southeast Africa,"Streams, Swamp, Pools, Ponds",40,Planted,Intermediate,Live food,Groups,Same Species Only,Aggressive,Mid/Top Water,22,25,6,7,4,10
Fundulopanchax walkeri,Fundulopanchax walkeri,West Africa,"Streams, Ponds, Swamp",40,Planted,Intermediate,Unfussy,Groups,Same Species Only,Aggressive,Mid/Top Water,20,23,6,7,5,12
Pachypanchax omalonotus,Powder-blue Panchax,Madagascar,Streams,80,Planted,Intermediate,Unfussy,Groups,Same Species Only,Semi-Aggressive,Mid/Top Water,20,28,6,7.5,2,15
Aphyosemion australe,Golden Lyretail,West Africa,"Swamp, Streams",40,Floating Plants,Easy,Unfussy,Pair,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Mid/Top Water,21,32,5.5,7,3,12
Nothobranchius foerschi,Nothobranchius foerschi,Southeast Africa,"Pools, Ponds, Swamp, Flooded Areas",40,Planted,Intermediate,Live food,Pair,Same Species Only,Semi-Aggressive,Mid/Top Water,20,24,6.5,7.5,12,30
Fundulopanchax sjoestedti,Golden Pheasant,Central Africa,Swamp,80,Floating Plants,Intermediate,Live food,Small Groups,"Medium-Sized Fish, Peaceful Fish",Semi-Aggressive,Mid/Top Water,23,26,6,8,5,20
Aphyosemion bivittatum,Two-Banded Lyretail,Central Africa,"Rivers, Streams",40,Planted,Moderately Difficult,Unfussy,Small Groups,"Same Species Only, Medium-Sized Fish, Peaceful Fish",Generally Peaceful,Mid/Top Water,22,24,5.5,6.5,1,3
Epiplatys annulatus,Clown Killifish,West Africa,"Swamp, Streams, Rivers, Brackish",40,Heavily-Planted,Intermediate,Unfussy,Groups,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Peaceful,Top Water,20,26,4,7,0,5
Cynolebias nigripinnis,Blackfin Pearl Killifish,Argentina,"Streams, Rivers",40,Floating Plants,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Semi-Aggressive,Bottom/Mid Water,17,23,6,7,5,20
Simpsonichthys myersi,Simpsonichthys myersi,Brazil,"Pools, Swamp",40,Floating Plants,Intermediate,Specialised,Small Groups,Same Species Only,Semi-Aggressive,Bottom/Mid Water,20,27,5.5,7,1,5
Aphyosemion celiae,Celia's Lyretail,West Africa,Streams,40,Floating Plants,Intermediate,Unfussy,Small Groups,Same Species Only,Semi-Aggressive,Bottom/Mid Water,20,26,6,7.6,0,5
Nothobranchius eggersi,Nothobranchius eggersi,Southeast Africa,"Pools, Swamp",40,Floating Plants,Intermediate,Specialised,Small Groups,"Same Species Only, Peaceful Fish, Small Fish",Semi-Aggressive,Bottom/Mid Water,20,24,7,8.2,10,30
Betta splendens,Siamese Fighting Fish,Indochina,"Flooded Areas, Swamp, Ponds, Canals, Streams",40,Planted,Easy,Unfussy,Loner,"Same Species Only, Peaceful Fish, Small Fish",Semi-Aggressive,Top Water,22,30,6,8,5,20
Betta imbellis,Crescent Betta,Indochina,"Flooded Areas, Swamp, Ponds, Canals, Streams",40,Planted,Easy,Unfussy,Loner,"Same Species Only, Peaceful Fish, Small Fish",Semi-Aggressive,Top Water,20,28,5,7.5,1,12
Betta simorum,Betta simorum,Indonesia,"Swamp, Streams",75,Unfussy,Intermediate,Unfussy,Loner,"Same Species Only, Peaceful Fish, Small Fish",Semi-Aggressive,Top Water,25,30,3,6,1,5
Betta foerschi,Betta foerschi,Borneo,"Swamp, Streams, Pools",55,Unfussy,Intermediate,Unfussy,Loner,"Same Species Only, Peaceful Fish, Small Fish",Semi-Aggressive,Top Water,22,28,4,6,1,5
Trichogaster trichopterus,Three-spot Gourami,Southeast Asia,"Ponds, Canals, Swamp",80,Planted,Intermediate,Unfussy,Loner,"Peaceful Fish, Medium-Sized Fish, Robust Fish",Semi-Aggressive,Mid/Top Water,24,30,5.5,8.5,3,35
Trichopsis pumilus,Sparkling Gourami,Indochina,"Swamp, Flooded Areas, Rivers, Canals",40,Heavily-Planted,Intermediate,Unfussy,Pair,"Small Fish, Peaceful Fish",Peaceful,Bottom/Mid Water,22,28,5,7.5,5,19
Trichogaster leeri,Pearl Gourami,Indonesia,Swamp,80,Planted,Easy,Unfussy,Pair,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,24,30,5.5,8,2,30
Trichopsis vittatus,Croaking gourami,Southeast Asia,"Swamp, Flooded Areas, Rivers, Canals",55,Heavily-Planted,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Mid/Top Water,22,28,5,7.5,1,15
Trichogaster lalius,Dwarf Gourami,India,"Ponds, Swamp, Streams, Canals",55,Heavily-Planted,Intermediate,Unfussy,Pair,"Small Fish, Peaceful Fish",Peaceful,Mid/Top Water,22,27,6,7.5,2,18
Trichogaster labiosa,Thick-lipped Gourami,Indochina,"Rivers, Ponds",75,Heavily-Planted,Easy,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,All Areas,22,27,6,7.5,5,15
Trichogaster chuna,Honey Gourami,India,"Ponds, Flooded Areas",55,Heavily-Planted,Easy,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Mid/Top Water,22,27,6,7.5,4,10
Sphaerichthys selatanensis,Crossband Chocolate Gourami,Borneo,Swamp,55,Unfussy,Moderately Difficult,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Semi-Aggressive,Mid/Top Water,26,31,4,6.5,2,10
Trichogaster fasciata,Banded Gourami,India,Flooded Areas,75,Heavily-Planted,Intermediate,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Middle Water,21,28,6,7.5,5,15
Sphaerichthys vaillanti,Vaillant's Chocolate Gourami,Borneo,"Swamp, Streams",55,Unfussy,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,All Areas,21,25,3.5,6.5,0,3