Area,Region,Macro Region
Amazon,Northeastern South America,South America
Argentina,Southeastern South America,South America
Australia,Australia,Oceania
Bolivia,Central South America,South America
Borneo,Southeast Asia,Asia
Brazil,Eastern South America,South America
Central Africa,Central Africa,Africa
Central America,Central America,North America
Central Southern Africa,Central Southern Africa,Africa
China,China,Asia
Colombia,Northern South America,South America
East Africa,East Africa,Africa
East Asia,East Asia,Asia
Guyana,Northeastern South America,South America
India,Indian Subcontinent,Asia
Indochina,Southeast Asia,Asia
Indonesia,Southeast Asia,Asia
Lake Tanganyika,Southeast Africa,Africa
Madagascar,Southeast Africa,Africa
Mexico,Central America,North America
Middle East,Middle East,Asia
Northeastern South America,Northeastern South America,South America
Orinoco,Northern South America,South America
Papua New Guinea,Papua New Guinea,Oceania
Paraguay,Central South America,South America
Peru,Western South America,South America
Seychelles Islands,East Africa,Africa
South America,South America,South America
Southeast Asia,Southeast Asia,Asia
Southeast Africa,Southeast Africa,Africa
Southeastern South America,Southeastern South America,South America
Southeastern United States,Southeastern United States,North America
Southern North America,Southern North America,North America
Sri Lanka,Indian Subcontinent,Asia
Venezuela,Northern South America,South America
West Africa,West Africa,Africa